index,names,corr,signal
577,maxssssSn,NA,NA
578,maxsI,NA,NA
579,maxsPbH3,NA,NA
580,maxssPbH2,NA,NA
581,maxsssPbH,NA,NA
582,maxssssPb,NA,NA
688,n9Ring,NA,NA
689,n10Ring,NA,NA
690,n11Ring,NA,NA
694,nF4Ring,NA,NA
695,nF5Ring,NA,NA
